TIMESTAMP_START,TART,TA_F,VPD_F,PA_F,WS_F,NETRAD,TS_F_MDS_1
2.00301E+11,1100,8.71,4.696,99.1,3.215,297.4,10.93
2.00301E+11,1130,8.83,4.924,99,3.008,279.6,10.96
2.00301E+11,1200,9.2,5.218,99,2.34,294.4,10.98
2.00301E+11,1230,9.23,5.348,98.9,3.012,318.2,11.01
2.00301E+11,1300,9.48,5.417,98.8,2.692,309.2,11.05
2.00301E+11,1330,9.76,5.524,98.8,2.451,295.5,11.08
2.00301E+11,1400,9.86,5.436,98.7,2.687,274.6,11.12
2.00301E+11,1430,10.32,5.564,98.7,2.36,265.2,11.15
2.00301E+11,1500,10.61,5.814,98.7,2.288,220.9,11.19
2.00301E+11,1530,10.65,5.861,98.8,2.59,137,11.23
2.00301E+11,1600,10.7,5.887,98.8,2.04,77.65,11.26
2.00301E+11,1630,10.66,5.847,98.8,2.406,52.5,11.29
2.00301E+11,1700,10.52,5.56,98.8,2.578,22.75,11.31
2.00301E+11,1730,10.35,5.377,98.8,2.145,-3.776,11.33
2.00301E+11,1800,10.23,5.224,98.8,2.504,-27.44,11.33
2.00301E+11,0800,3.829,0.506,98.7,3.083,4.09,10.64
2.00301E+11,0830,3.682,0.477,98.7,3.368,8.29,10.58
2.00301E+11,0900,3.523,0.684,98.7,4.374,12.36,10.52
2.00301E+11,0930,3.447,0.555,98.7,3.919,29.71,10.47
2.00301E+11,1000,3.459,0.454,98.7,3.529,14.86,10.41
2.00301E+11,1030,3.585,0.529,98.7,2.539,31.92,10.35
2.00301E+11,1100,3.631,0.563,98.8,2.686,25.66,10.28
2.00301E+11,1130,3.6,0.704,98.7,3.205,38.54,10.21
2.00301E+11,1200,3.587,0.727,98.7,3.968,65.57,10.13
2.00301E+11,1230,3.715,0.75,98.6,2.54,53.83,10.04
2.00301E+11,1300,3.764,0.44,98.6,1.628,76.03,9.91
2.00301E+11,1330,4.147,0.395,98.5,2.384,54.57,9.82
2.00301E+11,1400,3.986,0.333,98.5,1.643,49.85,9.72
2.00301E+11,1430,3.95,0.259,98.5,2.681,45.81,9.66
2.00301E+11,1500,3.878,0.226,98.5,2.728,46.48,9.62
2.00301E+11,1530,4.091,0.213,98.5,2.195,44.89,9.59
2.00301E+11,1600,4.025,0.212,98.5,2.257,39.01,9.57
2.00301E+11,1630,3.944,0.203,98.5,2.003,11.75,9.55
2.00301E+11,1700,3.954,0.195,98.5,1.707,7.017,9.52
2.00301E+11,1730,3.848,0.185,98.5,1.907,2.914,9.48
2.00301E+11,1800,3.778,0.176,98.6,2.175,-0.541,9.45
2.00301E+11,0800,3.49,1.161,98.8,2.517,0.56,9.05
2.00301E+11,0830,3.727,1.444,98.8,3.449,83.4,9.01
2.00301E+11,0900,3.849,1.632,98.8,4.289,149,8.98
2.00301E+11,0930,4.078,1.735,98.9,4.603,211.7,8.97
2.00301E+11,1000,4.412,1.737,98.8,3.233,265.6,8.96
2.00301E+11,1030,4.869,1.942,98.8,3.38,228.2,8.97
2.00301E+11,1100,5.067,2.041,98.7,3.518,224.3,8.99
2.00301E+11,1130,5.449,2.341,98.7,3.497,285.9,9.02
2.00301E+11,1200,5.991,2.661,98.7,3.399,353.4,9.06
2.00301E+11,1230,6.734,3.166,98.6,3.814,459.8,9.09
2.00301E+11,1300,6.69,3.049,98.6,3.932,240.4,9.15
2.00301E+11,1330,6.842,2.98,98.6,2.995,247.2,9.22
2.00301E+11,1400,7.191,3.122,98.5,2.643,268.8,9.28
2.00301E+11,1430,7.75,3.451,98.5,2.835,305.9,9.34
2.00301E+11,1500,7.66,3.347,98.5,2.231,168.5,9.41
2.00301E+11,1530,7.978,3.54,98.5,2.431,247.9,9.48
2.00301E+11,1600,8.19,3.619,98.6,2.601,144.6,9.54
2.00301E+11,1630,7.899,3.433,98.6,3.347,66.33,9.58
